participant_id,OrthoET_trial_number,OrthoET_trial_order,OrthoET_high,OrthoET_low,OrthoET_illegal,OrthoET_unpron,OrthoET_high_position,OrthoET_IA_label,OrthoET_response_time,OrthoET_response_choice,OrthoET_response_choice_accuracy_high,OrthoET_response_choice_accuracy_highlow,OrthoET_IA_fixation_count,OrthoET_IA_fixation_%,OrthoET_IA_dwell_time,OrthoET_IA_dwell_time%,OrthoET_IA_run_count,OrthoET_IA_first_run_fixation_count,OrthoET_IA_first_run_fixation%,OrthoET_IA_first_run_dwell_time,Ortho_ET_IA_inclusion,Ortho_ET_accuracy,accurate_trials,Ortho_ET_accuracy_inclusion,Ortho_ET_met_both_inclusion_count,Ortho_ET_met_both_inclusion
c141097,18,18,pred,syew,pvuj,rxbf,3,Illegal_IA,2693,High_Ortho,1,1,1,0.1111,650,0.2294,1,1,0.1111,650,1,1,18,TRUE,18,1
c141097,18,18,pred,syew,pvuj,rxbf,3,Unpron_IA,2693,High_Ortho,1,1,3,0.3333,462,0.163,2,1,0.1111,206,1,1,18,TRUE,18,1
c143051,1,1,drel,sqow,vwux,fzgj,4,High_Ortho_IA,7127,Low_Ortho,0,1,1,0.0909,1034,0.1799,1,1,0.0909,1034,1,1,18,TRUE,18,1
c143051,1,1,drel,sqow,vwux,fzgj,4,Low_Ortho_IA,7127,Low_Ortho,0,1,4,0.3636,3162,0.5501,4,1,0.0909,354,1,1,18,TRUE,18,1
c143051,1,1,drel,sqow,vwux,fzgj,4,Illegal_IA,7127,Low_Ortho,0,1,1,0.0909,296,0.0515,1,1,0.0909,296,1,1,18,TRUE,18,1
c143051,1,1,drel,sqow,vwux,fzgj,4,Unpron_IA,7127,Low_Ortho,0,1,3,0.2727,794,0.1381,3,1,0.0909,318,1,1,18,TRUE,18,1
c143051,2,2,whan,phey,sruv,pnzh,2,High_Ortho_IA,5275,High_Ortho,1,1,5,0.4167,3174,0.6039,3,2,0.1667,228,1,1,18,TRUE,18,1
c143051,2,2,whan,phey,sruv,pnzh,2,Low_Ortho_IA,5275,High_Ortho,1,1,3,0.25,1014,0.1929,2,2,0.1667,302,1,1,18,TRUE,18,1
c143051,2,2,whan,phey,sruv,pnzh,2,Illegal_IA,5275,High_Ortho,1,1,1,0.0833,274,0.0521,1,1,0.0833,274,1,1,18,TRUE,18,1
c143051,2,2,whan,phey,sruv,pnzh,2,Unpron_IA,5275,High_Ortho,1,1,2,0.1667,546,0.1039,2,1,0.0833,284,1,1,18,TRUE,18,1
