IP_INDEX,IP_LABEL,RECORDING_SESSION_LABEL,TRIAL_INDEX,IA_LABEL,IA_DWELL_TIME,IA_DWELL_TIME_%,IA_FIRST_RUN_DWELL_TIME,IA_FIRST_FIXATION_DURATION,IA_FIRST_FIXATION_TIME,IA_FIRST_RUN_FIXATION_COUNT,IA_FIXATION_COUNT,Accuracy,Remaining_Trials_Ortho,Response_Choice,Response_Time,Session_Name_,TASK2_POSITIONS,Trial_Index_,Trial_Number_Orthography,Trial_Recycled_,high_ortho,high_ortho_position,illegal_string,low_ortho,task,unpron_string,looked_all_four_IA,accuracy_high_low,accurate_trials,at_least_12_accurate,good_trial_count,has_12_good_trials,Group
.,Full Trial Period,c141097,15,High_Ortho_IA,1128,0.6402,924,924,578,1,2,Correct,3,High_Ortho,1511,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,15,UNDEFINED,grat,2,sviw,wrup,1,tkvc,0,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,15,Low_Ortho_IA,0,0,.,.,.,.,0,Correct,3,High_Ortho,1511,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,15,UNDEFINED,grat,2,sviw,wrup,1,tkvc,0,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,15,Illegal_IA,158,0.0897,158,158,1540,1,1,Correct,3,High_Ortho,1511,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,15,UNDEFINED,grat,2,sviw,wrup,1,tkvc,0,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,15,Unpron_IA,280,0.1589,280,280,246,1,1,Correct,3,High_Ortho,1511,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,15,UNDEFINED,grat,2,sviw,wrup,1,tkvc,0,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,15,Unpron_IA,0,0,.,.,.,.,0,Correct,3,High_Ortho,1511,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,15,UNDEFINED,grat,2,sviw,wrup,1,tkvc,0,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,16,High_Ortho_IA,1486,0.7998,1486,1486,544,1,1,Correct,2,High_Ortho,1608,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,16,UNDEFINED,clat,1,csih,knoy,1,dhhx,0,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,16,Low_Ortho_IA,158,0.085,158,54,270,2,2,Correct,2,High_Ortho,1608,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,16,UNDEFINED,clat,1,csih,knoy,1,dhhx,0,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,16,Illegal_IA,0,0,.,.,.,.,0,Correct,2,High_Ortho,1608,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,16,UNDEFINED,clat,1,csih,knoy,1,dhhx,0,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,16,Unpron_IA,0,0,.,.,.,.,0,Correct,2,High_Ortho,1608,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,16,UNDEFINED,clat,1,csih,knoy,1,dhhx,0,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,17,High_Ortho_IA,1498,0.5166,216,216,550,1,3,Correct,1,High_Ortho,2793,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,17,UNDEFINED,drel,1,vwux,sqow,1,fzgj,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,17,Low_Ortho_IA,616,0.2124,616,616,1252,1,1,Correct,1,High_Ortho,2793,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,17,UNDEFINED,drel,1,vwux,sqow,1,fzgj,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,17,Illegal_IA,184,0.0634,184,70,294,2,2,Correct,1,High_Ortho,2793,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,17,UNDEFINED,drel,1,vwux,sqow,1,fzgj,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,17,Unpron_IA,266,0.0917,266,266,942,1,1,Correct,1,High_Ortho,2793,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,17,UNDEFINED,drel,1,vwux,sqow,1,fzgj,1,1,18,TRUE,12,1,TD
